Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,1,16,3,13,4.8019,0,5.05,5.24,High,682.0378,1713.6503,3700.6664,14171.3773,54537.1774,124984.6734,204879.9989,226478,157043.0183,114880.2646,52588.1738,16866.8079,5860.4665,1938.2695,1043.2484,773.7053,514.5293,673.4906,597.4656,466.1498,718.4144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,1,16,3,13,5.4416,0,5.05,5.24,Medium,682.0378,1266.0691,2116.1441,3538.211,8613.7917,27004.5762,50495.8105,74082,67306.2694,53515.1593,27221.6166,9965.7727,4034.4649,1661.7157,692.9468,593.4699,419.3854,352.6907,620.6,460.0805,516.6014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,3,13,2,8,0.054,0,4.25,4.56,High,691.87,861160,631978.8462,327621.6486,71463.3198,16010.9679,8849.4675,5853.4636,2765.4772,2712.9158,5051.9012,4132.0755,2463.2488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,3,13,2,8,2.0126,0,4.25,4.56,High,691.87,46649.2869,160353.1486,301660.0196,329862,204123.347,98216.1777,34760.4634,12115.3252,5818.5774,5340.4071,5028.3381,3447.8595,2108.9827,1726.4464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,3,13,2,8,2.7284,0,4.25,4.56,Medium,691.87,9520.2717,44745.8332,119681.8272,182217,168951.4578,94148.9256,48577.2977,14956.0577,6233.7761,4156.7775,3834.245,3111.3271,2630.3087,1573.7365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,3,13,2,8,3.0318,0,4.25,4.56,Medium,691.87,4794.9846,20689.5012,59864.9079,109073,101889.6771,83267.2952,41234.2042,14697.851,4713.4315,2699.5713,2932.5799,2394.9958,1905.6777,1647.7038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,3,13,2,8,0.0017,0,4.23,4.37,High,691.87,183492,130083.7464,48278.8213,11342.4291,2321.1241,1016.3668,498.3837,372.3878,403.1868,629.9794,747.5756,464.7848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,3,13,2,8,1.9639,0,4.23,4.37,High,691.87,92777.4215,313158.7289,441803.5663,457844,349144.911,155346.2911,60528.884,15935.6399,5295.5787,4114.9022,3765.5896,3353.4008,2026.013,1529.9891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,3,13,2,8,2.81,0,4.23,4.37,High,691.87,12518.141,55259.1436,135951.1494,225999,225688.6329,132609.53,66946.1904,20501.4733,7804.0091,3496.803,1827.7176,1775.9897,1410.4462,1000.0719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,3,13,2,8,3.2532,0,4.23,4.37,Medium,691.87,2642.1331,13017.8222,50018.4991,108541.9272,118112,85898.1618,50461.8584,18574.2317,5547.3981,2618.7035,1571.5826,1340.8916,1400.3666,1036.3073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,3,13,2,8,0.0011,0,4.22,4.4,High,691.87,498288,378093.6504,145893.7994,33333.2508,5824.1948,1771.5893,1148.1115,714.7184,1011.2505,1368.6098,1193.7318,950.4234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,3,13,2,8,2.2092,0,4.22,4.4,High,691.87,70068.6329,341074.6056,624121.3362,685570,488953.106,279803.781,108513.277,28747.1788,8839.6529,5178.2582,4812.1187,4058.9175,2845.4267,3023.2659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,3,13,2,8,2.8005,0,4.22,4.4,High,691.87,9705.6413,57326.6672,172261.2672,259616,226434.5913,161295.8733,78988.0739,23107.3492,7637.7454,3723.7971,2551.1971,2048.0884,1659.8627,1469.7114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,3,13,2,8,3.3329,0,4.22,4.4,Medium,691.87,3620.9628,19815.0841,80796.9072,169952.7602,175129,172635.7467,92816.9002,32185.148,10178.7802,4077.9256,2308.8648,1384.25,1670.1858,1122.3648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,3,13,2,8,0.0094,0,4.17,4.42,High,691.87,574595,502243.4636,208558.6521,46074.5666,8110.1759,2262.0815,561.1365,657.5818,745.2594,1122.273,920.6146,938.1501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,3,13,2,8,2.1392,0,4.17,4.42,High,691.87,91014.6557,457840.4387,853295.1833,859459,552776.331,333869.0352,109807.7395,29048.6257,8432.6259,3278.6259,3304.8549,2740.9313,2386.8397,2229.4656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,3,13,2,8,2.7124,0,4.17,4.42,High,691.87,21453.5796,132692.6145,337081.4467,441848,394275.2604,299338.7885,122201.8006,38362.9377,11468.4283,3728.4191,2224.9155,1840.6119,1200.106,1267.5276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,3,13,2,8,3.3267,0,4.17,4.42,High,691.87,4206.3464,31789.2934,117052.6136,218110.9341,277886,252741.2074,128136.6756,46401.2588,13772.3923,4193.6256,1734.2698,1356.8859,1093.9893,886.2161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,3,13,2,8,0.0032,0,4.22,4.4,High,691.87,641337,583500.7038,236933.0908,48598.1467,7662.5753,1135.1963,381.6608,303.3714,264.2267,645.8876,606.7429,411.0194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,3,13,2,8,2.1972,0,4.22,4.4,High,691.87,60541.2682,306862.7934,576326.919,616274,409288.3127,260963.146,87981.377,22681.8172,5115.6337,1589.2318,1927.7664,1476.3869,1072.0262,742.8953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,3,13,2,8,2.7091,0,4.22,4.4,High,691.87,14349.0597,94055.7717,265443.9899,356875,287193.5702,219053.2349,95787.4609,25599.5937,7602.0066,1954.9573,947.528,931.1913,1023.7659,364.8528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,3,13,2,8,3.2931,0,4.22,4.4,High,691.87,2723.6492,23072.6395,90066.5711,175561.0693,214022,180250.7098,94697.4278,33095.2765,10055.2947,2272.9734,1022.1849,607.4325,604.1668,587.8379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,3,13,2,8,0.0096,0,4.22,4.4,High,691.87,450918,387086.974,120781.4843,30597.8843,5600.7821,2284.3485,949.5183,770.6236,619.2511,1025.2046,784.3847,860.071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,3,13,2,8,2.0161,0,4.22,4.4,High,691.87,62720.9613,278016.5972,474425,457738.5023,294876.8372,155825.103,53375.0748,13001.7136,5603.1884,2779.8764,2171.7784,1990.7969,1397.1775,1411.656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,3,13,2,8,2.6191,0,4.22,4.4,High,691.87,14136.9039,79041.9127,199637.8747,258716,222838.8197,149465.8805,55564.625,19213.7144,6636.173,2680.5244,1654.1086,1658.0563,998.7815,860.6102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,3,13,2,8,3.0527,0,4.22,4.4,High,691.87,3277.967,16730.7591,66783.9235,114728.8437,128405,94306.6981,41663.2932,16378.0788,4710.2406,1743.8079,1263.7709,1032.5694,750.4252,758.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,3,13,2,8,0.0036,0,4.25,4.36,Medium,691.87,150832,132668.1769,37308.1059,7898.9154,2087.5048,784.8281,748.0034,481.0237,575.3872,481.0237,750.3049,444.1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,3,13,2,8,2.1027,0,4.25,4.36,High,691.87,25193.6889,108402.9894,198885.2948,200689,130231.191,76812.1185,22713.2115,7756.8511,2906.1396,1626.0908,1748.5835,1338.2329,976.8794,1178.9924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,3,13,2,8,2.7331,0,4.25,4.36,High,691.87,5481.2198,28698.6618,76270.6239,102926,98027.4543,65080.4545,26927.0813,9029.0925,2869.395,1330.2559,764.8579,775.8517,544.9809,645.4961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,3,13,2,8,3.1055,0,4.25,4.36,Medium,691.87,1522.1875,6041.8313,21116.019,32733.1617,34941,30334.9834,14152.8778,4799.0225,2003.1027,730.9699,608.875,605.1428,414.8027,446.7927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,3,16,3,11,0.0979,0,4.21,4.32,High,575.6496,490574.6667,490672,319627.4919,153576.9293,32801.3128,5136.2019,1257.8454,636.4099,853.5379,606.4612,673.8457,598.974,254.5639,314.4613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,3,16,3,11,3.1541,0,4.21,4.32,High,575.6496,7517.8116,57037.3094,155079.7765,224541.8041,261230,226969.3477,168433.2593,92326.3792,37716.6134,8402.7289,2005.0155,1080.237,410.5698,653.7227,621.8338,446.4448,526.1671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,3,16,3,11,4.413,0,4.21,4.32,Medium,575.6496,1550.3166,5787.0413,25890.2876,69861.1429,128245.098,158750,156313.0961,118386.0533,63638.0751,23918.4787,7594.1291,1661.7456,799.382,494.1634,387.5792,588.6358,353.666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,3,16,3,11,4.8425,0,4.21,4.32,High,575.6496,871.0436,2620.7884,9654.2266,31187.1911,73301.6725,109774.4713,125459,93414.1659,58338.8657,22379.1212,7448.8589,2237.9121,918.9032,398.1914,386.7051,518.7974,329.2736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,3,16,3,11,0.0006,0,4.18,4.48,High,575.6496,327743.7782,328742,175106.1381,54150.7529,10254.0758,3532.3814,2278.334,803.5742,959.0761,5563.9383,4324.9394,1982.3788,1335.2903,452.4409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,3,16,3,11,3.0522,0,4.18,4.48,Medium,575.6496,19235.2875,126197.1749,381377.0353,555789.2058,589339,466433.9914,300285.6271,164944.4445,63935.3751,15917.176,5791.9902,2770.6203,2914.4951,3247.2054,3795.7279,3948.5949,2698.6829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,3,16,3,11,4.4432,0,4.18,4.48,High,575.6496,3021.8889,9278.5243,44927.2197,143816.6915,226766.0973,298665,265408.6816,194585.2094,119450.9016,48654.7708,14933.6478,4698.8312,2839.6126,2794.0435,3076.5718,3290.7465,2958.0922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,3,16,3,11,5.0816,0,4.18,4.48,Medium,575.6496,1686.228,2430.2802,12472.229,40622.2034,105037.8324,157799.3996,180617,163660.8774,111748.0808,49520.5164,14357.1612,5205.3193,2672.7861,2204.3088,2711.3666,3846.7351,3108.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,3,16,3,11,0.0614,0,4.11,4.3,High,575.6496,726385.3363,746408,452377.8035,148598.2326,38393.8562,7756.2195,1366.7347,546.6939,3029.5953,831.4303,740.3146,831.4303,820.0408,387.2415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,3,16,3,11,3.4844,0,4.11,4.3,High,575.6496,19801.5083,174177.1222,576673.3824,892740.7719,981393.6331,1005198,840024.529,524003.1531,213073.9485,53974.2721,15092.7837,7408.5132,1902.2196,2024.9225,3405.3304,1794.8545,1135.3263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,3,16,3,11,4.4671,0,4.11,4.3,Medium,575.6496,1918.9055,14624.6736,84111.9108,267868.8755,439158.408,538602,535898.1205,420042.2266,251234.6746,89758.0056,26631.8709,8370.4113,1910.6871,1244.9903,2091.4936,842.2848,751.8816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,3,16,3,11,5.1439,0,4.11,4.3,Medium,575.6496,1246.9623,3087.3085,17438.5255,72846.2987,194349.7863,325676.1942,380486,332294.4739,216166.8872,102715.64,30953.7493,10831.8568,3215.0297,974.1034,2082.9555,1206.3237,439.9966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,3,16,3,11,0.0636,0,4.17,4.47,Medium,575.6496,712736,682719.3207,447969.3122,173936.606,41678.3316,9736.6696,2689.2753,1438.5803,4200.9849,1819.2266,1764.8486,1525.5852,786.0438,481.5268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,3,16,3,11,3.3068,0,4.17,4.47,High,575.6496,21721.5122,201151.6107,643388.0753,936723.4274,1053071,1002762.445,738831.3263,419385.6572,146729.6761,39171.2379,9815.2076,5798.2358,3291.6454,3243.4417,3323.7811,3050.6271,2231.1648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,3,16,3,11,4.2901,0,4.17,4.47,Medium,575.6496,3227.9767,22089.7813,120564.6582,329928.8418,484370.2585,605374,548289.7922,420201.3278,224812.6145,79063.146,21858.8581,8779.3697,2876.9735,2239.6255,2876.9735,2452.0748,1417.539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,3,16,3,11,5.0941,0,4.17,4.47,High,575.6496,1416.0862,3459.4028,23144.2205,95434.6798,241792.1124,376982.8849,426478,361599.444,220792.8045,99098.3334,32235.0272,10532.9224,2808.665,1656.8592,2645.9806,1936.6764,1194.8354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,3,16,3,11,0.0865,0,4.17,4.48,High,575.6496,848603,807361.9277,619142.0765,252983.5079,54340.0889,11959.5459,3374.6696,1315.8531,4009.1476,1782.0003,1445.3384,2183.4047,1030.9854,694.3236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,3,16,3,11,3.4509,0,4.17,4.48,Medium,575.6496,13387.5695,135057.9129,452421.2198,694909.5325,798059,772767.8367,621033.0339,369156.4271,137566.3288,37911.5959,9551.8851,4608.1141,2367.5874,2964.2494,3232.1385,3073.8404,2781.5978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,3,16,3,11,4.327,0,4.17,4.48,Medium,575.6496,2332.185,18242.6205,96379.2187,284134.2252,451935.4942,555561,511745.8475,379834.1811,202988.461,76230.5211,18903.7894,7240.0923,2603.4337,3222.22,3247.6495,2484.7624,1196.3307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,3,16,3,11,5.1019,0,4.17,4.48,Medium,575.6496,928.3054,3168.1322,19712.4402,75187.6277,208489.4857,344791.425,383272,323299.6146,213670.9127,86690.8634,29075.267,9115.6618,2940.0558,1571.5977,2559.9286,1659.3194,1027.7233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,3,16,3,11,0.0716,0,4.11,4.32,High,575.6496,700148.9379,750122,520012.4167,172490.1739,40392.3475,6970.1438,1281.5016,800.7713,2643.5708,880.893,949.5687,1636.3263,938.1228,297.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,3,16,3,11,3.2144,0,4.11,4.32,High,575.6496,24461.3507,223991.1035,541361.8849,714264.2103,768739,759589.4875,588810.3182,336717.7892,119710.1215,29622.6141,7921.8473,4273.7725,1505.4585,1470.268,1810.4422,965.8718,778.1895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,3,16,3,11,4.2618,0,4.11,4.32,Medium,575.6496,3027.9375,22201.3863,128048.5603,336765.7809,554489.2797,613545,569768.1218,400689.7597,210865.1268,75078.1631,20300.8931,5377.8084,1913.8553,1071.2721,1717.2525,1155.5304,752.9628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,3,16,3,11,4.8397,0,4.11,4.32,Medium,575.6496,1587.5459,4861.1801,25477.4899,98396.0879,244775.9719,350355.0527,382432,283738.6383,158313.5146,60477.9501,20225.6703,6045.7572,1645.8994,1044.8579,1885.149,858.1265,1068.1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,3,16,3,11,0.0136,0,4.17,4.48,High,575.6496,320111.6379,327247,178982.2641,49607.0137,13760.4324,6110.765,2250.9785,1626.8215,2151.1134,7948.283,7249.2272,3868.7933,2201.0459,822.9074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,3,16,3,11,3.2499,0,4.17,4.48,Medium,575.6496,9446.3648,76849.6603,246563.4012,394298.5663,457998,433915.9102,318215.6551,158243.7695,58484.0968,15002.1575,5330.1864,4575.4372,3429.3366,6553.1596,6210.7271,6056.9819,4645.3214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,3,16,3,11,4.4217,0,4.17,4.48,Medium,575.6496,2062.7304,8705.0916,40196.8145,122652.2734,218379.93,273623,257223.7573,187092.7802,91841.069,36188.853,10917.8204,5152.2007,2338.2777,3619.9904,4050.0113,4371.4832,3344.4431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
